status,message,user_id,phone,row,timestamp
success,"Номер успешно обновлен",1,2080,2,"2025-11-07 16:08:17"
success,"Номер успешно обновлен",7,2075,3,"2025-11-07 16:08:18"
success,"Номер успешно обновлен",25,2088,4,"2025-11-07 16:08:19"
success,"Номер успешно обновлен",29,2086,5,"2025-11-07 16:08:19"
success,"Номер успешно обновлен",31,2089,6,"2025-11-07 16:08:20"
success,"Номер успешно обновлен",35,5351,7,"2025-11-07 16:08:21"
success,"Номер успешно обновлен",37,2084,8,"2025-11-07 16:08:22"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",43,2081,9,"2025-11-07 16:08:22"
success,"Номер успешно обновлен",49,2076,10,"2025-11-07 16:08:23"
success,"Номер успешно обновлен",53,2005,11,"2025-11-07 16:08:24"
success,"Номер успешно обновлен",57,2012,12,"2025-11-07 16:08:24"
success,"Номер успешно обновлен",59,2011,13,"2025-11-07 16:08:25"
success,"Номер успешно обновлен",61,2014,14,"2025-11-07 16:08:26"
success,"Номер успешно обновлен",63,2020,15,"2025-11-07 16:08:27"
success,"Номер успешно обновлен",65,2035,16,"2025-11-07 16:08:27"
success,"Номер успешно обновлен",67,2041,17,"2025-11-07 16:08:28"
success,"Номер успешно обновлен",69,2040,18,"2025-11-07 16:08:29"
success,"Номер успешно обновлен",71,2030,19,"2025-11-07 16:08:30"
success,"Номер успешно обновлен",73,718,20,"2025-11-07 16:08:30"
success,"Номер успешно обновлен",75,724,21,"2025-11-07 16:08:31"
success,"Номер успешно обновлен",79,723,22,"2025-11-07 16:08:32"
success,"Номер успешно обновлен",81,3002,23,"2025-11-07 16:08:32"
success,"Номер успешно обновлен",83,3010,24,"2025-11-07 16:08:33"
success,"Номер успешно обновлен",85,3310,25,"2025-11-07 16:08:34"
success,"Номер успешно обновлен",87,3410,26,"2025-11-07 16:08:35"
skipped,"Временный номер (пропуск)",91,1000,27,"2025-11-07 16:08:35"
success,"Номер успешно обновлен",93,4210,28,"2025-11-07 16:08:36"
success,"Номер успешно обновлен",95,3610,29,"2025-11-07 16:08:36"
success,"Номер успешно обновлен",97,4110,30,"2025-11-07 16:08:37"
success,"Номер успешно обновлен",101,3180,31,"2025-11-07 16:08:38"
success,"Номер успешно обновлен",103,3189,32,"2025-11-07 16:08:38"
success,"Номер успешно обновлен",107,2017,33,"2025-11-07 16:08:39"
success,"Номер успешно обновлен",109,2090,34,"2025-11-07 16:08:40"
success,"Номер успешно обновлен",111,2091,35,"2025-11-07 16:08:40"
success,"Номер успешно обновлен",115,2100,36,"2025-11-07 16:08:41"
skipped,"Временный номер (пропуск)",117,1001,37,"2025-11-07 16:08:41"
success,"Номер успешно обновлен",119,2130,38,"2025-11-07 16:08:42"
success,"Номер успешно обновлен",121,2013,39,"2025-11-07 16:08:43"
success,"Номер успешно обновлен",123,3008,40,"2025-11-07 16:08:44"
success,"Номер успешно обновлен",127,2072,41,"2025-11-07 16:08:44"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",129,2071,42,"2025-11-07 16:08:45"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",133,20712,43,"2025-11-07 16:08:45"
success,"Номер успешно обновлен",135,2074,44,"2025-11-07 16:08:46"
success,"Номер успешно обновлен",137,2023,45,"2025-11-07 16:08:47"
success,"Номер успешно обновлен",141,2024,46,"2025-11-07 16:08:48"
success,"Номер успешно обновлен",143,2025,47,"2025-11-07 16:08:48"
success,"Номер успешно обновлен",145,2021,48,"2025-11-07 16:08:49"
success,"Номер успешно обновлен",149,2029,49,"2025-11-07 16:08:50"
success,"Номер успешно обновлен",151,2125,50,"2025-11-07 16:08:50"
success,"Номер успешно обновлен",153,2126,51,"2025-11-07 16:08:51"
success,"Номер успешно обновлен",157,2122,52,"2025-11-07 16:08:52"
success,"Номер успешно обновлен",159,2123,53,"2025-11-07 16:08:52"
success,"Номер успешно обновлен",161,2124,54,"2025-11-07 16:08:53"
success,"Номер успешно обновлен",163,2026,55,"2025-11-07 16:08:54"
success,"Номер успешно обновлен",167,2036,56,"2025-11-07 16:08:54"
success,"Номер успешно обновлен",169,2037,57,"2025-11-07 16:08:55"
success,"Номер успешно обновлен",171,2238,58,"2025-11-07 16:08:56"
success,"Номер успешно обновлен",173,2239,59,"2025-11-07 16:08:57"
skipped,"Временный номер (пропуск)",175,1002,60,"2025-11-07 16:08:57"
success,"Номер успешно обновлен",177,2171,61,"2025-11-07 16:08:58"
success,"Номер успешно обновлен",179,2046,62,"2025-11-07 16:08:58"
success,"Номер успешно обновлен",181,2042,63,"2025-11-07 16:08:59"
success,"Номер успешно обновлен",183,2144,64,"2025-11-07 16:09:00"
success,"Номер успешно обновлен",185,2043,65,"2025-11-07 16:09:00"
success,"Номер успешно обновлен",187,2032,66,"2025-11-07 16:09:01"
success,"Номер успешно обновлен",189,2031,67,"2025-11-07 16:09:02"
success,"Номер успешно обновлен",191,2139,68,"2025-11-07 16:09:03"
success,"Номер успешно обновлен",193,2033,69,"2025-11-07 16:09:03"
success,"Номер успешно обновлен",201,711,70,"2025-11-07 16:09:04"
success,"Номер успешно обновлен",203,717,71,"2025-11-07 16:09:05"
success,"Номер успешно обновлен",207,716,72,"2025-11-07 16:09:05"
success,"Номер успешно обновлен",221,3011,73,"2025-11-07 16:09:07"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",225,30112,74,"2025-11-07 16:09:07"
skipped,"Временный номер (пропуск)",229,1003,75,"2025-11-07 16:09:08"
success,"Номер успешно обновлен",231,5314,76,"2025-11-07 16:09:08"
success,"Номер успешно обновлен",233,5311,77,"2025-11-07 16:09:09"
skipped,"Временный номер (пропуск)",235,1004,78,"2025-11-07 16:09:09"
skipped,"Временный номер (пропуск)",237,1005,79,"2025-11-07 16:09:10"
skipped,"Временный номер (пропуск)",239,1006,80,"2025-11-07 16:09:10"
skipped,"Временный номер (пропуск)",241,1007,81,"2025-11-07 16:09:10"
skipped,"Временный номер (пропуск)",243,1008,82,"2025-11-07 16:09:11"
success,"Номер успешно обновлен",245,3311,83,"2025-11-07 16:09:11"
success,"Номер успешно обновлен",247,3312,84,"2025-11-07 16:09:12"
success,"Номер успешно обновлен",249,3313,85,"2025-11-07 16:09:13"
skipped,"Временный номер (пропуск)",251,1009,86,"2025-11-07 16:09:13"
success,"Номер успешно обновлен",253,3314,87,"2025-11-07 16:09:14"
success,"Номер успешно обновлен",255,5411,88,"2025-11-07 16:09:14"
success,"Номер успешно обновлен",257,3412,89,"2025-11-07 16:09:15"
success,"Номер успешно обновлен",259,5412,90,"2025-11-07 16:09:16"
skipped,"Временный номер (пропуск)",261,1010,91,"2025-11-07 16:09:16"
success,"Номер успешно обновлен",271,4011,92,"2025-11-07 16:09:17"
success,"Номер успешно обновлен",273,4012,93,"2025-11-07 16:09:17"
success,"Номер успешно обновлен",275,3711,94,"2025-11-07 16:09:18"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",277,37112,95,"2025-11-07 16:09:19"
success,"Номер успешно обновлен",279,3713,96,"2025-11-07 16:09:19"
skipped,"Временный номер (пропуск)",281,1011,97,"2025-11-07 16:09:20"
success,"Номер успешно обновлен",283,3717,98,"2025-11-07 16:09:20"
skipped,"Временный номер (пропуск)",285,1012,99,"2025-11-07 16:09:21"
success,"Номер успешно обновлен",287,4211,100,"2025-11-07 16:09:21"
success,"Номер успешно обновлен",289,4212,101,"2025-11-07 16:09:22"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",291,42122,102,"2025-11-07 16:09:24"
success,"Номер успешно обновлен",297,3612,103,"2025-11-07 16:09:24"
success,"Номер успешно обновлен",301,3615,104,"2025-11-07 16:09:25"
skipped,"Временный номер (пропуск)",303,1013,105,"2025-11-07 16:09:25"
success,"Номер успешно обновлен",305,4111,106,"2025-11-07 16:09:26"
success,"Номер успешно обновлен",307,4112,107,"2025-11-07 16:09:27"
success,"Номер успешно обновлен",309,4113,108,"2025-11-07 16:09:28"
success,"Номер успешно обновлен",313,728,109,"2025-11-07 16:09:28"
success,"Номер успешно обновлен",319,732,110,"2025-11-07 16:09:29"
success,"Номер успешно обновлен",321,2050,111,"2025-11-07 16:09:30"
success,"Номер успешно обновлен",323,2059,112,"2025-11-07 16:09:30"
success,"Номер успешно обновлен",329,703,113,"2025-11-07 16:09:31"
success,"Номер успешно обновлен",331,712,114,"2025-11-07 16:09:32"
success,"Номер успешно обновлен",335,731,115,"2025-11-07 16:09:32"
success,"Номер успешно обновлен",341,3145,116,"2025-11-07 16:09:33"
success,"Номер успешно обновлен",343,707,117,"2025-11-07 16:09:34"
success,"Номер успешно обновлен",345,3114,118,"2025-11-07 16:09:34"
success,"Номер успешно обновлен",349,3143,119,"2025-11-07 16:09:35"
success,"Номер успешно обновлен",351,3146,120,"2025-11-07 16:09:36"
skipped,"Временный номер (пропуск)",353,1014,121,"2025-11-07 16:09:36"
skipped,"Временный номер (пропуск)",355,1015,122,"2025-11-07 16:09:36"
skipped,"Временный номер (пропуск)",357,1016,123,"2025-11-07 16:09:37"
skipped,"Временный номер (пропуск)",361,1017,124,"2025-11-07 16:09:37"
skipped,"Временный номер (пропуск)",363,1018,125,"2025-11-07 16:09:37"
skipped,"Временный номер (пропуск)",365,1019,126,"2025-11-07 16:09:38"
success,"Номер успешно обновлен",367,3181,127,"2025-11-07 16:09:38"
success,"Номер успешно обновлен",369,3186,128,"2025-11-07 16:09:39"
success,"Номер успешно обновлен",371,3185,129,"2025-11-07 16:09:40"
success,"Номер успешно обновлен",373,3191,130,"2025-11-07 16:09:40"
success,"Номер успешно обновлен",377,3195,131,"2025-11-07 16:09:41"
skipped,"Временный номер (пропуск)",379,1020,132,"2025-11-07 16:09:42"
success,"Номер успешно обновлен",385,3184,133,"2025-11-07 16:09:42"
success,"Номер успешно обновлен",387,3115,134,"2025-11-07 16:09:43"
success,"Номер успешно обновлен",389,3116,135,"2025-11-07 16:09:44"
skipped,"Временный номер (пропуск)",391,1021,136,"2025-11-07 16:09:44"
success,"Номер успешно обновлен",393,3112,137,"2025-11-07 16:09:45"
success,"Номер успешно обновлен",395,3111,138,"2025-11-07 16:09:45"
success,"Номер успешно обновлен",397,3110,139,"2025-11-07 16:09:46"
success,"Номер успешно обновлен",399,3117,140,"2025-11-07 16:09:47"
success,"Номер успешно обновлен",401,2065,141,"2025-11-07 16:09:47"
skipped,"Временный номер (пропуск)",403,1022,142,"2025-11-07 16:09:48"
success,"Номер успешно обновлен",405,2063,143,"2025-11-07 16:09:48"
success,"Номер успешно обновлен",407,2097,144,"2025-11-07 16:09:49"
success,"Номер успешно обновлен",409,2066,145,"2025-11-07 16:09:50"
success,"Номер успешно обновлен",411,2067,146,"2025-11-07 16:09:50"
success,"Номер успешно обновлен",413,2068,147,"2025-11-07 16:09:51"
success,"Номер успешно обновлен",415,2093,148,"2025-11-07 16:09:52"
success,"Номер успешно обновлен",419,2062,149,"2025-11-07 16:09:52"
success,"Номер успешно обновлен",421,2060,150,"2025-11-07 16:09:53"
success,"Номер успешно обновлен",423,2061,151,"2025-11-07 16:09:54"
success,"Номер успешно обновлен",425,2064,152,"2025-11-07 16:09:55"
success,"Номер успешно обновлен",427,2096,153,"2025-11-07 16:09:55"
success,"Номер успешно обновлен",429,2094,154,"2025-11-07 16:09:56"
success,"Номер успешно обновлен",431,2303,155,"2025-11-07 16:09:57"
success,"Номер успешно обновлен",433,2102,156,"2025-11-07 16:09:57"
success,"Номер успешно обновлен",435,2103,157,"2025-11-07 16:09:58"
success,"Номер успешно обновлен",445,2131,158,"2025-11-07 16:09:59"
success,"Номер успешно обновлен",449,2108,159,"2025-11-07 16:10:00"
success,"Номер успешно обновлен",453,2305,160,"2025-11-07 16:10:00"
success,"Номер успешно обновлен",455,3413,161,"2025-11-07 16:10:01"
skipped,"Временный номер (пропуск)",457,1023,162,"2025-11-07 16:10:01"
success,"Номер успешно обновлен",459,2034,163,"2025-11-07 16:10:02"
success,"Номер успешно обновлен",461,713,164,"2025-11-07 16:10:03"
success,"Номер успешно обновлен",465,3614,165,"2025-11-07 16:10:04"
success,"Номер успешно обновлен",471,2116,166,"2025-11-07 16:10:04"
skipped,"Временный номер (пропуск)",483,1024,167,"2025-11-07 16:10:05"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",485,2114,168,"2025-11-07 16:10:05"
skipped,"Временный номер (пропуск)",487,1025,169,"2025-11-07 16:10:06"
success,"Номер успешно обновлен",491,3611,170,"2025-11-07 16:10:06"
skipped,"Временный номер (пропуск)",493,1026,171,"2025-11-07 16:10:07"
success,"Номер успешно обновлен",497,719,172,"2025-11-07 16:10:07"
success,"Номер успешно обновлен",501,2311,173,"2025-11-07 16:10:08"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",503,2113,174,"2025-11-07 16:10:09"
success,"Номер успешно обновлен",505,3183,175,"2025-11-07 16:10:10"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",509,21132,176,"2025-11-07 16:10:10"
skipped,"Временный номер (пропуск)",511,1027,177,"2025-11-07 16:10:11"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",513,41132,178,"2025-11-07 16:10:12"
success,"Номер успешно обновлен",527,2018,179,"2025-11-07 16:10:13"
success,"Номер успешно обновлен",531,722,180,"2025-11-07 16:10:13"
success,"Номер успешно обновлен",543,2085,181,"2025-11-07 16:10:14"
success,"Номер успешно обновлен",545,2423,182,"2025-11-07 16:10:15"
success,"Номер успешно обновлен",549,2073,183,"2025-11-07 16:10:16"
success,"Номер успешно обновлен",551,2430,184,"2025-11-07 16:10:16"
success,"Номер успешно обновлен",553,2078,185,"2025-11-07 16:10:17"
success,"Номер успешно обновлен",557,2098,186,"2025-11-07 16:10:18"
success,"Номер успешно обновлен",561,3192,187,"2025-11-07 16:10:19"
skipped,"Временный номер (пропуск)",563,1028,188,"2025-11-07 16:10:19"
success,"Номер успешно обновлен",567,705,189,"2025-11-07 16:10:20"
success,"Номер успешно обновлен",579,5004,190,"2025-11-07 16:10:20"
success,"Номер успешно обновлен",609,2022,191,"2025-11-07 16:10:21"
success,"Номер успешно обновлен",615,2082,192,"2025-11-07 16:10:22"
skipped,"Временный номер (пропуск)",617,1029,193,"2025-11-07 16:10:22"
success,"Номер успешно обновлен",623,2083,194,"2025-11-07 16:10:23"
skipped,"Временный номер (пропуск)",633,1030,195,"2025-11-07 16:10:23"
skipped,"Временный номер (пропуск)",681,1031,196,"2025-11-07 16:10:24"
skipped,"Временный номер (пропуск)",779,1032,197,"2025-11-07 16:10:24"
skipped,"Временный номер (пропуск)",781,1033,198,"2025-11-07 16:10:24"
skipped,"Временный номер (пропуск)",799,1034,199,"2025-11-07 16:10:25"
skipped,"Временный номер (пропуск)",933,1035,200,"2025-11-07 16:10:25"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",939,21002,201,"2025-11-07 16:10:26"
success,"Номер успешно обновлен",951,2136,202,"2025-11-07 16:10:26"
success,"Номер успешно обновлен",959,2109,203,"2025-11-07 16:10:27"
skipped,"Временный номер (пропуск)",969,1036,204,"2025-11-07 16:10:27"
skipped,"Временный номер (пропуск)",975,1037,205,"2025-11-07 16:10:28"
success,"Номер успешно обновлен",977,2128,206,"2025-11-07 16:10:28"
success,"Номер успешно обновлен",981,2155,207,"2025-11-07 16:10:29"
skipped,"Временный номер (пропуск)",983,1038,208,"2025-11-07 16:10:29"
success,"Номер успешно обновлен",985,3211,209,"2025-11-07 16:10:30"
success,"Номер успешно обновлен",987,3212,210,"2025-11-07 16:10:31"
success,"Номер успешно обновлен",989,2077,211,"2025-11-07 16:10:32"
success,"Номер успешно обновлен",995,3210,212,"2025-11-07 16:10:32"
success,"Номер успешно обновлен",1013,714,213,"2025-11-07 16:10:33"
success,"Номер успешно обновлен",1059,3712,214,"2025-11-07 16:10:34"
success,"Номер успешно обновлен",1061,3281,215,"2025-11-07 16:10:35"
skipped,"Временный номер (пропуск)",1081,1039,216,"2025-11-07 16:10:35"
skipped,"Временный номер (пропуск)",1093,1040,217,"2025-11-07 16:10:35"
success,"Номер успешно обновлен",1097,726,218,"2025-11-07 16:10:36"
success,"Номер успешно обновлен",1131,5500,219,"2025-11-07 16:10:37"
success,"Номер успешно обновлен",1143,2047,220,"2025-11-07 16:10:37"
skipped,"Временный номер (пропуск)",1149,1041,221,"2025-11-07 16:10:38"
success,"Номер успешно обновлен",1171,2070,222,"2025-11-07 16:10:38"
success,"Номер успешно обновлен",1189,721,223,"2025-11-07 16:10:39"
success,"Номер успешно обновлен",1207,2137,224,"2025-11-07 16:10:40"
success,"Номер успешно обновлен",1221,2120,225,"2025-11-07 16:10:41"
success,"Номер успешно обновлен",1235,2178,226,"2025-11-07 16:10:41"
success,"Номер успешно обновлен",1237,214,227,"2025-11-07 16:10:42"
success,"Номер успешно обновлен",1243,211,228,"2025-11-07 16:10:43"
success,"Номер успешно обновлен",1247,21,229,"2025-11-07 16:10:44"
success,"Номер успешно обновлен",1256,443,230,"2025-11-07 16:10:44"
success,"Номер успешно обновлен",1258,729,231,"2025-11-07 16:10:45"
skipped,"Временный номер (пропуск)",1260,1042,232,"2025-11-07 16:10:45"
success,"Номер успешно обновлен",1262,2411,233,"2025-11-07 16:10:46"
success,"Номер успешно обновлен",1264,2138,234,"2025-11-07 16:10:47"
success,"Номер успешно обновлен",1268,709,235,"2025-11-07 16:10:48"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",1270,21232,236,"2025-11-07 16:10:48"
skipped,"Временный номер (пропуск)",1276,1043,237,"2025-11-07 16:10:48"
success,"Номер успешно обновлен",1280,2092,238,"2025-11-07 16:10:49"
success,"Номер успешно обновлен",1296,710,239,"2025-11-07 16:10:50"
skipped,"Временный номер (пропуск)",1300,1044,240,"2025-11-07 16:10:50"
success,"Номер успешно обновлен",1322,2135,241,"2025-11-07 16:10:51"
success,"Номер успешно обновлен",1326,2105,242,"2025-11-07 16:10:52"
success,"Номер успешно обновлен",1330,2182,243,"2025-11-07 16:10:52"
skipped,"Временный номер (пропуск)",1336,1045,244,"2025-11-07 16:10:53"
success,"Номер успешно обновлен",1348,2027,245,"2025-11-07 16:10:53"
success,"Номер успешно обновлен",1434,2426,246,"2025-11-07 16:10:54"
error,"Ошибка заполнения поля ""Внутренний номер"", указанный номер уже используется другим сотрудником или группой телефонии. ",1446,2214,247,"2025-11-07 16:10:55"
error,"Ошибка заполнения поля ""Внутренний номер"", номер должен быть цифрой от 1 до 9999. ",1452,22142,248,"2025-11-07 16:10:55"
skipped,"Временный номер (пропуск)",1454,1046,249,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1456,1047,250,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1460,1048,251,"2025-11-07 16:10:56"
skipped,"Временный номер (пропуск)",1464,1049,252,"2025-11-07 16:10:57"
skipped,"Временный номер (пропуск)",1468,1050,253,"2025-11-07 16:10:57"
skipped,"Временный номер (пропуск)",1470,1051,254,"2025-11-07 16:10:57"
success,"Номер успешно обновлен",1496,2421,255,"2025-11-07 16:10:58"
skipped,"Временный номер (пропуск)",1498,1052,256,"2025-11-07 16:10:58"
skipped,"Временный номер (пропуск)",1508,1053,257,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1530,1054,258,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1570,1055,259,"2025-11-07 16:10:59"
skipped,"Временный номер (пропуск)",1596,1056,260,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1598,1057,261,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1600,1058,262,"2025-11-07 16:11:00"
skipped,"Временный номер (пропуск)",1602,1059,263,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1604,1060,264,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1606,1061,265,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1608,1062,266,"2025-11-07 16:11:01"
skipped,"Временный номер (пропуск)",1610,1063,267,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",1612,1064,268,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",2420,1065,269,"2025-11-07 16:11:02"
skipped,"Временный номер (пропуск)",2578,1066,270,"2025-11-07 16:11:03"
skipped,"Временный номер (пропуск)",2624,1067,271,"2025-11-07 16:11:03"
skipped,"Временный номер (пропуск)",2630,1068,272,"2025-11-07 16:11:03"
